"_entityId","CO","TimeInstant","co_duplicated","dateObserved","humidity","location_coordinates_lon","location_coordinates_lat","location_centroid","streetAddress","temperature","windSpeed"
"AirQualityObserved:S0001",0,"2026-04-29T18:39:50.057Z",0,"2026-04-29T18:39:49.785Z",77,-8.6308,41.269,"41.269, -8.6308","Anta",16.52,4.63
"AirQualityObserved:S0002",0,"2026-04-29T18:39:50.452Z",0,"2026-04-29T18:39:50.055Z",77,-8.5806,41.2589,"41.2589, -8.5806","Silva Escura",16.62,4.63
"AirQualityObserved:S0003",0,"2026-04-29T18:39:50.702Z",0,"2026-04-29T18:39:50.445Z",77,-8.6354,41.2669,"41.2669, -8.6354","Gemunde",16.64,4.63
"AirQualityObserved:S0004",0,"2026-04-29T18:39:50.936Z",0,"2026-04-29T18:39:50.697Z",77,-8.6058,41.2428,"41.2428, -8.6058","Vermoim",16.92,4.63
"AirQualityObserved:S0005",0,"2026-04-29T18:39:51.159Z",0,"2026-04-29T18:39:50.930Z",77,-8.5872,41.2405,"41.2405, -8.5872","Nogueira",16.86,4.63
"AirQualityObserved:S0006",0,"2026-04-29T18:39:51.441Z",0,"2026-04-29T18:39:51.149Z",77,-8.6342,41.2422,"41.2422, -8.6342","Godim",16.78,4.63
"AirQualityObserved:S0007",0,"2026-04-29T18:39:51.752Z",0,"2026-04-29T18:39:51.437Z",77,-8.6545,41.2436,"41.2436, -8.6545","Moreira",16.95,4.63
"AirQualityObserved:S0008",0,"2026-04-29T18:39:52.006Z",0,"2026-04-29T18:39:51.742Z",77,-8.5886,41.218,"41.218, -8.5886","Milheirós",16.86,4.63
"AirQualityObserved:S0009",0,"2026-04-29T18:39:52.292Z",0,"2026-04-29T18:39:52.001Z",77,-8.6362,41.2498,"41.2498, -8.6362","Guarda",16.68,4.63
"AirQualityObserved:S0010",0,"2026-04-29T18:39:52.523Z",0,"2026-04-29T18:39:52.288Z",77,-8.6488,41.2476,"41.2476, -8.6488","Padrão",16.86,4.63
"AirQualityObserved:S0011",0,"2026-04-29T18:39:52.793Z",0,"2026-04-29T18:39:52.517Z",77,-8.6587,41.2523,"41.2523, -8.6587","Lidador",16.73,4.63
"AirQualityObserved:S0012",0,"2026-04-29T18:39:53.047Z",0,"2026-04-29T18:39:52.788Z",77,-8.6167,41.2614,"41.2614, -8.6167","Castelo da Maia",16.66,4.63
"AirQualityObserved:S0013",0,"2026-04-29T18:39:53.330Z",0,"2026-04-29T18:39:53.043Z",77,-8.6177,41.2775,"41.2775, -8.6177","São Pedro de Avioso",16.67,4.63
"AirQualityObserved:S0014",0,"2026-04-29T18:39:53.627Z",0,"2026-04-29T18:39:53.323Z",77,-8.5255,41.2775,"41.2775, -8.5255","Vilar de Luz",16.14,4.63
"AirQualityObserved:S0015",0,"2026-04-29T18:39:54.237Z",0,"2026-04-29T18:39:54.003Z",77,-8.5874,41.1894,"41.1894, -8.5874","Pedrouços",16.45,4.63
"AirQualityObserved:S0016",0,"2026-04-29T18:39:54.463Z",0,"2026-04-29T18:39:54.235Z",77,-8.5978,41.2192,"41.2192, -8.5978","Gueifães",16.99,4.63
"AirQualityObserved:S0017",0,"2026-04-29T18:39:55.754Z",0,"2026-04-29T18:39:55.537Z",77,-8.6685,41.2546,"41.2546, -8.6685","Vila Nova da Telha",16.88,4.63
"AirQualityObserved:S0018",0,"2026-04-29T18:40:05.475Z",0,"2026-04-29T18:40:05.261Z",77,-8.5616,41.2029,"41.2029, -8.5616","Granja",16.54,4.63
"AirQualityObserved:S0019",0,"2026-04-29T18:40:05.701Z",0,"2026-04-29T18:40:05.473Z",77,-8.5967,41.2046,"41.2046, -8.5967","Parada",17.06,4.63
"AirQualityObserved:S0020",0,"2026-04-29T18:40:05.930Z",0,"2026-04-29T18:40:05.698Z",77,-8.6786,41.2437,"41.2437, -8.6786","Aeroporto",16.96,4.63
"AirQualityObserved:S0021",0,"2026-04-29T18:40:06.171Z",0,"2026-04-29T18:40:05.924Z",77,-8.6229,41.2339,"41.2339, -8.6229","Forum da Maia",16.69,4.63
"AirQualityObserved:S0022",0,"2026-04-29T18:40:06.859Z",0,"2026-04-29T18:40:06.642Z",77,-8.5509,41.246,"41.246, -8.5509","São Pedro de Fins",16.65,4.63
"AirQualityObserved:S0023",0,"2026-04-29T18:40:07.126Z",0,"2026-04-29T18:40:06.903Z",77,-8.533,41.273,"41.273, -8.533","Folgosa",16.39,4.63
"AirQualityObserved:S0024",0,"2026-04-29T18:40:07.423Z",0,"2026-04-29T18:40:07.199Z",77,-8.617,41.2684,"41.2684, -8.617","Univ. Maia",16.69,4.63
"AirQualityObserved:S0025",0,"2026-04-29T18:40:07.701Z",0,"2026-04-29T18:40:07.463Z",77,-8.644,41.2446,"41.2446, -8.644","Real",16.88,4.63
"AirQualityObserved:S0026",0,"2026-04-29T18:40:07.950Z",0,"2026-04-29T18:40:07.730Z",77,-8.6584,41.2355,"41.2355, -8.6584","Crestins",16.86,4.63